"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000104907",-0.39761171074251,-0.113740186889346,-0.283871523853164,4.76876816032868,5.1275586265621,0.00757989518758315
"ENSG00000160877",0.159245890284214,0.00873887058472829,0.150507019699485,5.91867567481443,2.20669799033682,0.115374399005901
"ENSG00000104915",0.399284790634296,0.210346337050373,0.188938453583923,6.30876288418607,5.80444439602834,0.00411678102591614
"ENSG00000160888",0.163854065510214,-0.0520945790668682,0.215948644577083,5.52952609150431,2.19360737096406,0.116830417368398
"ENSG00000141837",0.396868863597306,0.140452322458056,0.25641654113925,3.75563267672148,1.46789113651393,0.235429476824202
"ENSG00000104957",-0.355288312588462,-0.146826850422687,-0.208461462165775,5.32688224829301,5.69695089361893,0.00453360176491982
"ENSG00000037757",-0.433130187827407,-0.0680054538252329,-0.365124734002174,3.93981622834803,3.44243525351469,0.0358097045953915
"ENSG00000104979",-0.0199627801946882,0.0436887404723144,-0.0636515206670026,4.59419109958625,0.156220131355021,0.855578390305684
"ENSG00000132003",0.1609149748766,-0.0913709120843063,0.252285886960906,4.71064549242752,2.08317292294182,0.129884541579772
"ENSG00000187556",0.114452130645564,0.680625239679309,-0.566173109033746,-0.570537125289987,0.555110670830356,0.575760270762026
"ENSG00000132016",-1.15460185166347,-0.891691631702658,-0.262910219960815,0.559440655186667,1.0464411133043,0.354983644128953
"ENSG00000132024",-0.106133669829942,-0.107814647777653,0.00168097794771094,4.94779558017099,0.46750346328257,0.627921580515719
"ENSG00000132000",-1.08404181468229,-0.589031330602891,-0.495010484079397,0.974254825406626,1.5254885289731,0.22251313328154
"ENSG00000132017",-0.105049657701029,-0.137595266394754,0.032545608693725,6.07509637151782,1.69600836986981,0.188626232959872
"ENSG00000132005",0.152596099793937,0.0282915101434555,0.124304589650481,6.30102121369133,1.26559106807513,0.286533219833253
"ENSG00000171136",0.193617909994556,-0.195644497818001,0.389262407812557,0.464312290920227,0.322981328109597,0.724736783440439
"ENSG00000104998",-0.250422656908813,-0.0894757494024444,-0.160946907506369,6.054679497486,2.49223630044577,0.0878305899753559
"ENSG00000187867",-0.949719598419772,0.131447015292265,-1.08116661371204,-0.174877430598324,2.02188100257457,0.137762368406431
"ENSG00000141854",0.634664528881666,0.476311007286494,0.158353521595172,1.923060420779,2.03852438758557,0.135576191650427
"ENSG00000188032",-0.613602363225638,-0.541830806889401,-0.0717715563362369,1.5824923444443,1.12115061645841,0.329949978194863
"ENSG00000141858",-0.166280651443472,-0.245047655149119,0.0787670037056468,4.18042083556789,1.390059823861,0.253811818500461
"ENSG00000072062",0.288670130616937,0.0426693979604445,0.246000732656492,7.3531477141069,4.49127967492181,0.0135468687081284
"ENSG00000105011",-0.0825735148376645,-0.0920809917968662,0.00950747695920172,4.32717481721653,0.131356385732889,0.877055655899571
"ENSG00000072071",-0.0837806208979304,-0.0335505435015831,-0.0502300773963473,6.2946865908731,0.460027558487923,0.632590161740154
"ENSG00000123146",0.275819239639476,-0.120213996259412,0.396033235898888,9.78357108584108,5.0313198477535,0.00828571420202562
"ENSG00000123136",0.0340693746793653,-0.0631153942466499,0.0971847689260151,6.8805398750928,0.872564705691267,0.421022891110174
"ENSG00000123143",0.0343527093698018,-0.0149997803432178,0.0493524897130196,8.21273468283002,0.320331869135153,0.726647232297533
"ENSG00000160951",-0.0925242578908506,0.144365936375552,-0.236890194266403,-0.31258183350585,0.0677587331063274,0.934528603173347
"ENSG00000123159",-0.20585072419888,0.0581490474277879,-0.263999771626668,4.14519132778137,1.64957697739963,0.197295287325079
"ENSG00000132002",-0.0829778539524962,-0.167335336574148,0.0843574826216513,6.44512282972188,1.43569239496295,0.242793118807859
"ENSG00000099797",-0.185108838424959,-0.151790461531501,-0.0333183768934577,5.47833710988091,1.09581640602256,0.338230610905169
"ENSG00000099795",0.165772999766121,0.147742269862917,0.0180307299032036,3.91253171069492,0.57508207331057,0.564501075496295
"ENSG00000187912",0.335617172922137,0.178865493759622,0.156751679162515,5.44625487776991,1.70962024583397,0.186780436472724
