row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
ENSG00000162496,86.86618668,0.121552543,0.766917014,0.158495041,0.874066728,0.999480687,DHRS3
ENSG00000204518,1.314470586,2.795191024,4.888595335,0.571777951,0.567472417,0.999480687,AADACL4
ENSG00000188984,1.643088233,2.965099062,4.864969962,0.609479418,0.542206711,0.999480687,AADACL3
ENSG00000116721,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,PRAMEF1
ENSG00000179172,0.227698398,1.542607634,4.95533345,0.311302488,0.755570676,0.999480687,HNRNPCL1
ENSG00000187545,1.97170588,3.103228809,4.847664231,0.640149289,0.522075548,0.999480687,PRAMEF10
ENSG00000204505,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,PRAMEF9
ENSG00000270601,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,PRAMEF5
ENSG00000182330,0.328617647,1.642013671,4.979464343,0.32975709,0.741583513,0.999480687,PRAMEF8
ENSG00000204501,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,PRAMEF15
ENSG00000204479,0.328617647,1.642013671,4.979464343,0.32975709,0.741583513,0.999480687,PRAMEF17
ENSG00000204478,1.643088233,2.965099062,4.864969962,0.609479418,0.542206711,0.999480687,PRAMEF20
ENSG00000162494,2.628941173,3.334888852,4.433315718,0.752233557,0.451910617,0.999480687,LRRC38
ENSG00000116731,932.6592701,0.079393372,0.450024113,0.176420261,0.859963788,0.999480687,PRDM2
ENSG00000189337,65.22337894,1.749212061,0.907219226,1.928102943,0.053842323,0.999480687,KAZN
ENSG00000171729,1.878663174,0.809892751,4.675825829,0.173208494,0.862487547,0.999480687,TMEM51
ENSG00000142621,11.88066312,-1.648958008,2.074061728,-0.795038058,0.426591364,0.999480687,FHAD1
ENSG00000142634,3482.053154,-0.165610406,0.436245225,-0.379626862,0.704222418,0.999480687,EFHD2
ENSG00000162438,3.637547321,1.638144518,3.487123703,0.469769546,0.638519675,0.999480687,CTRC
ENSG00000215704,4.176308608,4.381674508,3.120011944,1.404377479,0.160206474,0.999480687,CELA2B
ENSG00000132906,114.0292388,-0.564666356,0.685966473,-0.823169031,0.410411878,0.999480687,CASP9
ENSG00000116138,104.5535775,0.084108167,0.726908811,0.115706627,0.907885054,0.999480687,DNAJC16
ENSG00000116771,22.55054449,0.898507572,1.264444801,0.710594541,0.477335527,0.999480687,AGMAT
ENSG00000197312,237.8965854,-0.257532367,0.555928531,-0.463247257,0.643187147,0.999480687,DDI2
ENSG00000116786,370.2874904,-0.203923489,0.509452881,-0.400279391,0.688950746,0.999480687,PLEKHM2
ENSG00000162461,6.91800089,0.664681255,2.147940112,0.309450553,0.756978821,0.999480687,SLC25A34
ENSG00000162458,1.878663174,0.809892751,4.675825829,0.173208494,0.862487547,0.999480687,FBLIM1
ENSG00000233954,3.265221847,2.590835161,3.063030251,0.84584054,0.397641707,0.999480687,UQCRHL
ENSG00000065526,1259.79093,0.045543724,0.446804537,0.101932099,0.918810571,0.999480687,SPEN
ENSG00000116809,224.9922792,-0.094471686,0.563410487,-0.167678253,0.866836406,0.999480687,ZBTB17
ENSG00000173641,6.096739423,-1.443974394,2.722005973,-0.530481714,0.595777984,0.999480687,HSPB7
ENSG00000186510,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,CLCNKA
ENSG00000184908,4.600647052,3.820208193,3.50818163,1.088942534,0.276179228,0.999480687,CLCNKB
ENSG00000185519,3.286176466,3.52398999,4.032024073,0.874000236,0.382118125,0.999480687,FAM131C
ENSG00000142627,4.390793498,-1.035219715,3.00351792,-0.344669066,0.730343177,0.999480687,EPHA2
ENSG00000142632,11.83275255,3.023383531,1.811911657,1.66861531,0.095193643,0.999480687,ARHGEF19
ENSG00000132881,17.01611078,-2.290785147,1.479242772,-1.548620138,0.121473062,0.999480687,CPLANE2
ENSG00000037637,214.7759269,-0.305201728,0.59455536,-0.513327688,0.607722119,0.999480687,FBXO42
ENSG00000055070,308.1402673,-0.60002318,0.547500068,-1.095932613,0.273108266,0.999480687,SZRD1
ENSG00000187144,28.04042314,1.075821817,1.216867239,0.884091364,0.376646895,0.999480687,SPATA21
ENSG00000157191,473.0382485,-0.422919978,0.487251758,-0.867970143,0.385410678,0.999480687,NECAP2
ENSG00000219481,90.90864877,-0.420905103,0.727450301,-0.578603243,0.562856916,0.999480687,NBPF1
ENSG00000058453,180.8692546,-0.776013141,0.591841059,-1.311185037,0.189795256,0.999480687,CROCC
ENSG00000117122,0.527056283,-1.822843578,4.915449318,-0.370839665,0.710756956,0.999480687,MFAP2
ENSG00000159363,165.2438646,-0.985024737,0.644195493,-1.529077351,0.126245269,0.999480687,ATP13A2
ENSG00000117118,124.7646879,0.20804094,0.662996153,0.313789061,0.753681253,0.999480687,SDHB
ENSG00000117115,2262.86833,0.146556157,0.511429818,0.286561619,0.774448006,0.999480687,PADI2
ENSG00000142623,1.314470586,2.795191024,4.888595335,0.571777951,0.567472417,0.999480687,PADI1
ENSG00000142619,0.98585294,2.574501223,4.92343629,0.52290739,0.601038701,0.999480687,PADI3
ENSG00000159339,668.5241109,0.381147341,0.484052685,0.787408792,0.431042601,0.999480687,PADI4
ENSG00000179051,321.9726572,-0.663399746,0.542397222,-1.223088392,0.221296313,0.999480687,RCC2
ENSG00000074964,184.7404086,-0.890270524,0.87475301,-1.01773931,0.308801861,0.999480687,ARHGEF10L
ENSG00000117148,1.97170588,3.103228809,4.847664231,0.640149289,0.522075548,0.999480687,ACTL8
ENSG00000117154,0.98585294,2.574501223,4.92343629,0.52290739,0.601038701,0.999480687,IGSF21
ENSG00000179023,1.314470586,2.795191024,4.888595335,0.571777951,0.567472417,0.999480687,KLHDC7A
ENSG00000009709,2.300323526,3.224122855,4.697101746,0.686406859,0.492456581,0.999480687,PAX7
ENSG00000179002,1.314470586,2.795191024,4.888595335,0.571777951,0.567472417,0.999480687,TAS1R2
ENSG00000255275,0.227698398,1.542607634,4.95533345,0.311302488,0.755570676,0.999480687,
ENSG00000159423,8.42544629,2.634846452,2.352139153,1.120191571,0.262632135,0.999480687,ALDH4A1
ENSG00000169991,97.16243588,-0.652501798,0.7171262,-0.9098842,0.362883583,0.999480687,IFFO2
ENSG00000127463,185.8224023,-0.172364236,0.587574755,-0.293348607,0.769255704,0.999480687,EMC1
ENSG00000053372,37.65945021,0.500265192,1.018082017,0.49138005,0.623157672,0.999480687,MRTO4
ENSG00000162482,0.282096294,-1.047725066,4.979464997,-0.210409164,0.833348341,0.999480687,AKR7A3
ENSG00000053371,63.00946772,-1.265436762,0.93227412,-1.357365537,0.174665093,0.999480687,AKR7A2
ENSG00000040487,49.0508689,-0.094163194,0.985336762,-0.095564479,0.923866478,0.999480687,PQLC2
ENSG00000077549,1493.805994,-0.148474603,0.438991536,-0.338217462,0.735199318,0.999480687,CAPZB
ENSG00000173436,42.89526474,0.225218603,0.959788763,0.234654345,0.814477026,0.999480687,MINOS1
ENSG00000158747,3.539734766,5.318126741,3.548049823,1.498887278,0.133902877,0.999480687,NBL1
ENSG00000158748,3.036508514,-1.395548618,3.451098886,-0.404378044,0.685934743,0.999480687,HTR6
ENSG00000162542,117.6461432,-0.946722585,0.72451546,-1.306697561,0.191315447,0.999480687,TMCO4
ENSG00000169914,53.57042259,-0.324920375,0.902677932,-0.359951611,0.718883321,0.999480687,OTUD3
ENSG00000188257,0.328617647,1.642013671,4.979464343,0.32975709,0.741583513,0.999480687,PLA2G2A
ENSG00000127472,2.300323526,3.224122855,4.697101746,0.686406859,0.492456581,0.999480687,PLA2G5
ENSG00000117215,6.769344951,-0.911114229,2.190179793,-0.415999742,0.677410192,0.999480687,PLA2G2D
