AIHpartial.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
201,ENSG00000011007,217.1968936,0.082024806,0.119178175,0.688253586,0.491293104,0.916816656
202,ENSG00000057757,1059.14788,0.435908272,0.36388486,1.197929125,0.23094461,0.852012614
203,ENSG00000011009,243.7751997,-0.0356635,0.095388375,-0.373876797,0.70849598,0.957882289
204,ENSG00000117308,47.39070647,0.06307791,0.198272108,0.318138091,0.750380191,0.961849432
205,ENSG00000117305,159.9665771,0.195618636,0.123698578,1.581413775,0.11378346,0.797162813
206,ENSG00000179163,125.088993,0.104105832,0.176918697,0.588438839,0.556237775,0.927692958
207,ENSG00000188822,100.9708809,-0.431837566,0.20106625,-2.147737706,0.031734598,0.684509679
208,ENSG00000189266,500.8732123,0.032654422,0.105492756,0.309541838,0.756909391,0.962597587
209,ENSG00000188529,507.9337332,-0.007403991,0.107521225,-0.068860742,0.945100468,0.992241856
210,ENSG00000185436,40.71834747,-0.081779426,0.25672586,-0.318547674,0.750069538,0.961849432
211,ENSG00000001460,36.24778269,-0.519952351,0.247760306,-2.098610384,0.03585126,0.701265263
212,ENSG00000001461,435.4864454,-0.043324462,0.111447183,-0.388744348,0.697465273,0.957250244
213,ENSG00000117602,532.9868667,-0.096976485,0.170027996,-0.570355982,0.568436279,0.931401019
214,ENSG00000133226,734.1072859,-0.060714992,0.0721251,-0.841801147,0.39989927,0.89908894
215,ENSG00000169504,185.7843388,0.145416456,0.160989355,0.903267522,0.366383929,0.893376284
216,ENSG00000020633,1178.758622,-0.278782168,0.128147912,-2.175471784,0.02959478,0.678784767
217,ENSG00000117614,204.7004521,0.180984244,0.124951276,1.448438542,0.147494442,0.81879996
218,ENSG00000117616,1881.073054,0.055599422,0.104155106,0.5338137,0.593470434,0.938281136
219,ENSG00000187010,197.3484418,0.852128596,0.481543689,1.769576917,0.076797647,0.762324389
220,ENSG00000183726,441.3880794,0.209080028,0.104230444,2.005940111,0.044862638,0.721129343
221,ENSG00000188672,39.27388983,0.513585599,0.320195976,1.603972685,0.108720074,0.797162813
222,ENSG00000204178,187.1570491,0.06648253,0.124834715,0.532564444,0.594335121,0.938281136
223,ENSG00000157978,819.7282531,-0.197298159,0.147427377,-1.338273548,0.180807281,0.836974018
224,ENSG00000117643,264.7609732,-0.22367472,0.206168622,-1.084911553,0.277960831,0.87149735
