AIHelite.vs.AIHpartial,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
211,ENSG00000001460,36.24778269,-0.192963276,0.260169915,-0.741681742,0.458280185,0.899400854
212,ENSG00000001461,435.4864454,-0.045421133,0.116148879,-0.391059594,0.695753187,0.950832027
213,ENSG00000117602,532.9868667,-0.190789981,0.177105352,-1.077268295,0.281360422,0.851951572
214,ENSG00000133226,734.1072859,-0.00174487,0.075150001,-0.023218494,0.981475987,0.997187575
215,ENSG00000169504,185.7843388,-0.450775526,0.168063186,-2.682178865,0.007314434,0.767901283
216,ENSG00000020633,1178.758622,0.116594931,0.133372075,0.874207966,0.382005009,0.881618708
217,ENSG00000117614,204.7004521,0.023676271,0.129847243,0.182339424,0.855316362,0.975145262
218,ENSG00000117616,1881.073054,0.125050982,0.108363933,1.153990801,0.24850394,0.845469076
219,ENSG00000187010,197.3484418,0.387273515,0.500672356,0.773506887,0.439222454,0.897375798
220,ENSG00000183726,441.3880794,-0.033038601,0.108464711,-0.304602304,0.760669065,0.962110213
221,ENSG00000188672,39.27388983,0.308095461,0.331778292,0.928618505,0.353086828,0.877647955
222,ENSG00000204178,187.1570491,0.07920684,0.129964734,0.609448715,0.542227056,0.919290572
223,ENSG00000157978,819.7282531,-0.024980355,0.153512154,-0.162725583,0.870734503,0.976663996
224,ENSG00000117643,264.7609732,-0.025821735,0.214712852,-0.120261711,0.904275834,0.983797346
225,ENSG00000162430,166.5101655,0.058227461,0.143270988,0.406414877,0.68443779,0.948915829
226,ENSG00000117640,76.79478247,-0.021205977,0.164011005,-0.129296062,0.897123387,0.981418532
227,ENSG00000127423,7.845581887,-0.767250643,0.626633537,-1.224400863,0.220801044,0.843041821
228,ENSG00000182749,54.65421203,0.125892803,0.191932619,0.655921874,0.511874393,0.910153987
229,ENSG00000117632,42.12245723,-0.365104014,0.243425731,-1.499857934,0.133651207,0.814137503
230,ENSG00000158006,159.3705914,0.0451906,0.142433979,0.317274012,0.751035695,0.960767628
231,ENSG00000175087,65.65436029,-0.330696314,0.197479963,-1.674581609,0.09401635,0.808449263
232,ENSG00000142675,10.32359366,-0.015621164,0.528342993,-0.029566332,0.976412917,0.996064771
233,ENSG00000130695,130.3637888,-0.03251878,0.167183288,-0.194509753,0.84577676,0.974191558
234,ENSG00000142669,1539.082777,0.139324803,0.142229854,0.979574952,0.327295974,0.868134408
235,ENSG00000158062,491.3717534,-0.021113391,0.114824538,-0.183875249,0.854111322,0.975103481
236,ENSG00000169442,119.6656933,-0.17103903,0.188760483,-0.906116723,0.364874075,0.877647955
237,ENSG00000176092,49.9526886,-0.002050611,0.242891525,-0.008442497,0.993263942,0.999343144
238,ENSG00000176083,50.71242005,0.534983934,0.468906378,1.140918441,0.253903865,0.845469076
239,ENSG00000117682,312.7456926,0.02474959,0.098206758,0.252015144,0.801029358,0.968106026
240,ENSG00000198830,920.1427413,0.029222531,0.089593165,0.326169198,0.744296344,0.959827683
241,ENSG00000117676,2144.184535,0.121497893,0.127124501,0.955739391,0.339203916,0.872988383
242,ENSG00000117713,2327.176351,0.164749058,0.095681653,1.721845853,0.085097446,0.808449263
243,ENSG00000060642,129.1765725,0.069457133,0.141390046,0.491244855,0.623253278,0.938505575
244,ENSG00000204160,2401.150259,0.230337107,0.171284368,1.344764319,0.178701356,0.824860368
245,ENSG00000142751,202.2122878,-0.224231986,0.110329395,-2.032386624,0.042114531,0.807632706
246,ENSG00000198746,82.9934282,0.041070998,0.155473825,0.26416664,0.791651516,0.965637069
247,ENSG00000090273,236.6627398,-0.028089558,0.117962467,-0.238122839,0.811785821,0.968908949
248,ENSG00000175707,10.46295722,0.146577941,0.481948102,0.304136359,0.761024008,0.962110213
249,ENSG00000253368,6.004943778,0.008746616,0.682006833,0.012824821,0.989767554,0.998279218
250,ENSG00000090020,442.2861455,0.224179063,0.139759974,1.604029085,0.108707642,0.808449263
251,ENSG00000142784,1642.927778,0.25371752,0.162645011,1.559946529,0.118772518,0.814137503
252,ENSG00000186501,228.3520274,0.025217531,0.107978482,0.233542187,0.815340415,0.968908949
253,ENSG00000142765,740.5533698,-0.02955261,0.092198022,-0.320534096,0.748563488,0.960424902
254,ENSG00000142733,65.20362637,0.22145146,0.231429922,0.956883439,0.338626091,0.872988383
255,ENSG00000158195,4070.981168,0.240634181,0.182602681,1.317802018,0.187569932,0.833327704
256,ENSG00000126705,171.5823242,-0.134543077,0.140633988,-0.956689622,0.338723938,0.872988383
257,ENSG00000000938,3488.420683,0.101807329,0.142931435,0.712280885,0.476290858,0.90120576
258,ENSG00000126709,629.2952497,0.105867204,0.401750068,0.263515086,0.792153597,0.965637069
259,ENSG00000009780,81.07593456,-0.242475268,0.155978472,-1.554543173,0.120054907,0.814137503
260,ENSG00000117758,219.4948148,-0.084303843,0.103557406,-0.814078365,0.415600059,0.889172924
261,ENSG00000117751,123.3401129,-0.304658819,0.131862687,-2.310424776,0.020864649,0.807632706
262,ENSG00000130775,3125.627427,0.149699913,0.128661361,1.163518803,0.244619074,0.844218207
263,ENSG00000117748,365.2683005,-0.071741711,0.125766916,-0.570433888,0.568383451,0.92576762
264,ENSG00000130768,11.65965742,1.448633472,0.454691452,3.18597032,0.001442694,0.65392253
265,ENSG00000158156,407.5993798,0.112076698,0.175907358,0.637134792,0.524037048,0.911941188
266,ENSG00000158161,293.422009,0.045349572,0.092284182,0.491412192,0.623134943,0.938505575
267,ENSG00000169403,2176.529715,0.183721463,0.167843203,1.094601748,0.273691149,0.851916086
268,ENSG00000126698,189.7834862,-0.31752649,0.135550161,-2.342501747,0.019154944,0.807632706
269,ENSG00000130770,120.6540234,0.06120338,0.133489641,0.45848786,0.646601982,0.943947576
270,ENSG00000130766,138.9701665,0.319951374,0.15089374,2.120375392,0.0339744,0.807632706
271,ENSG00000130772,92.07461946,-0.042346594,0.158009426,-0.268000427,0.78869899,0.965637069
272,ENSG00000204138,208.6667794,0.038910711,0.124888553,0.311563468,0.755372301,0.962054916
273,ENSG00000180198,87.81342678,-0.080194094,0.167821457,-0.477853639,0.632754381,0.939653032
274,ENSG00000180098,95.40049374,-0.013288945,0.173737887,-0.07648847,0.939030487,0.99041716
275,ENSG00000120656,134.8982852,0.04727398,0.139870442,0.337984064,0.735375197,0.957863681
276,ENSG00000188060,23.28472542,-0.022152727,0.443534314,-0.049945914,0.960165489,0.993186764
277,ENSG00000162419,177.1575675,-0.029753398,0.115212646,-0.258247672,0.796215768,0.966622775
278,ENSG00000198492,323.334152,-0.09669401,0.069874074,-1.383832424,0.166409772,0.823010852
279,ENSG00000159023,11257.95013,0.343931237,0.324540762,1.059747426,0.289259521,0.856385363
280,ENSG00000253304,16.88111025,0.508152132,0.391864061,1.296756151,0.194715102,0.83412935
281,ENSG00000116350,804.3160637,-0.030909347,0.077541213,-0.398618311,0.690174467,0.948915829
282,ENSG00000116353,53.27496832,0.036498063,0.219885931,0.16598635,0.868167692,0.976174942
283,ENSG00000162510,5.368760502,-0.54230856,0.771406921,-0.703012308,0.482048079,0.901602138
284,ENSG00000162511,7733.466606,0.053432975,0.108390053,0.492969359,0.622034238,0.938505575
